# `n`             a positive integer
# `factorization` the prime factorization of n, including exponents
# `primeness`     notes if n is a prime, prime power, radical, radical power, or primorial
# `m*`            the prime residues of n modulo a set of primes

    n, factorization, primeness,      m3, m5, m7, m11, m13, m17, m19, m23, m29, m31
  313, 313,           prime,          1,  3,  5,  5,   1,   7,   9,   14,  23,  3
  314, 2 157,         radical,        2,  4,  6,  6,   2,   8,   10,  15,  24,  4
  315, 3² 5 7,        ,               0,  0,  0,  7,   3,   9,   11,  16,  25,  5
  316, 2² 79,         ,               1,  1,  1,  8,   4,   10,  12,  17,  26,  6
  317, 317,           prime,          2,  2,  2,  9,   5,   11,  13,  18,  27,  7
  318, 2 3 53,        radical,        0,  3,  3,  10,  6,   12,  14,  19,  28,  8
  319, 11 29,         radical,        1,  4,  4,  0,   7,   13,  15,  20,  0,   9
  320, 2⁶ 5,          ,               2,  0,  5,  1,   8,   14,  16,  21,  1,   10
  321, 3 107,         radical,        0,  1,  6,  2,   9,   15,  17,  22,  2,   11
  322, 2 7 23,        radical,        1,  2,  0,  3,   10,  16,  18,  0,   3,   12
  323, 17 19,         radical,        2,  3,  1,  4,   11,  0,   0,   1,   4,   13
  324, 2² 3⁴,         ,               0,  4,  2,  5,   12,  1,   1,   2,   5,   14
  325, 5² 13,         ,               1,  0,  3,  6,   0,   2,   2,   3,   6,   15
  326, 2 163,         radical,        2,  1,  4,  7,   1,   3,   3,   4,   7,   16
  327, 3 109,         radical,        0,  2,  5,  8,   2,   4,   4,   5,   8,   17
  328, 2³ 41,         ,               1,  3,  6,  9,   3,   5,   5,   6,   9,   18
  329, 7 47,          radical,        2,  4,  0,  10,  4,   6,   6,   7,   10,  19
  330, 2 3 5 11,      radical,        0,  0,  1,  0,   5,   7,   7,   8,   11,  20
  331, 331,           prime,          1,  1,  2,  1,   6,   8,   8,   9,   12,  21
  332, 2² 83,         ,               2,  2,  3,  2,   7,   9,   9,   10,  13,  22
  333, 3² 37,         ,               0,  3,  4,  3,   8,   10,  10,  11,  14,  23
  334, 2 167,         radical,        1,  4,  5,  4,   9,   11,  11,  12,  15,  24
  335, 5 67,          radical,        2,  0,  6,  5,   10,  12,  12,  13,  16,  25
  336, 2⁴ 3 7,        ,               0,  1,  0,  6,   11,  13,  13,  14,  17,  26
  337, 337,           prime,          1,  2,  1,  7,   12,  14,  14,  15,  18,  27
  338, 2 13²,         ,               2,  3,  2,  8,   0,   15,  15,  16,  19,  28
  339, 3 113,         radical,        0,  4,  3,  9,   1,   16,  16,  17,  20,  29
  340, 2² 5 17,       ,               1,  0,  4,  10,  2,   0,   17,  18,  21,  30
  341, 11 31,         radical,        2,  1,  5,  0,   3,   1,   18,  19,  22,  0
  342, 2 3² 19,       ,               0,  2,  6,  1,   4,   2,   0,   20,  23,  1
  343, 7³,            prime power,    1,  3,  0,  2,   5,   3,   1,   21,  24,  2
  344, 2³ 43,         ,               2,  4,  1,  3,   6,   4,   2,   22,  25,  3
  345, 3 5 23,        radical,        0,  0,  2,  4,   7,   5,   3,   0,   26,  4
  346, 2 173,         radical,        1,  1,  3,  5,   8,   6,   4,   1,   27,  5
  347, 347,           prime,          2,  2,  4,  6,   9,   7,   5,   2,   28,  6
  348, 2² 3 29,       ,               0,  3,  5,  7,   10,  8,   6,   3,   0,   7
  349, 349,           prime,          1,  4,  6,  8,   11,  9,   7,   4,   1,   8
  350, 2 5² 7,        ,               2,  0,  0,  9,   12,  10,  8,   5,   2,   9
  351, 3³ 13,         ,               0,  1,  1,  10,  0,   11,  9,   6,   3,   10
  352, 2⁵ 11,         ,               1,  2,  2,  0,   1,   12,  10,  7,   4,   11
  353, 353,           prime,          2,  3,  3,  1,   2,   13,  11,  8,   5,   12
  354, 2 3 59,        radical,        0,  4,  4,  2,   3,   14,  12,  9,   6,   13
  355, 5 71,          radical,        1,  0,  5,  3,   4,   15,  13,  10,  7,   14
  356, 2² 89,         ,               2,  1,  6,  4,   5,   16,  14,  11,  8,   15
  357, 3 7 17,        radical,        0,  2,  0,  5,   6,   0,   15,  12,  9,   16
  358, 2 179,         radical,        1,  3,  1,  6,   7,   1,   16,  13,  10,  17
  359, 359,           prime,          2,  4,  2,  7,   8,   2,   17,  14,  11,  18
  360, 2³ 3² 5,       ,               0,  0,  3,  8,   9,   3,   18,  15,  12,  19
  361, 19²,           prime power,    1,  1,  4,  9,   10,  4,   0,   16,  13,  20
  362, 2 181,         radical,        2,  2,  5,  10,  11,  5,   1,   17,  14,  21
  363, 3 11²,         ,               0,  3,  6,  0,   12,  6,   2,   18,  15,  22
  364, 2² 7 13,       ,               1,  4,  0,  1,   0,   7,   3,   19,  16,  23
  365, 5 73,          radical,        2,  0,  1,  2,   1,   8,   4,   20,  17,  24
  366, 2 3 61,        radical,        0,  1,  2,  3,   2,   9,   5,   21,  18,  25
  367, 367,           prime,          1,  2,  3,  4,   3,   10,  6,   22,  19,  26
  368, 2⁴ 23,         ,               2,  3,  4,  5,   4,   11,  7,   0,   20,  27
  369, 3² 41,         ,               0,  4,  5,  6,   5,   12,  8,   1,   21,  28
  370, 2 5 37,        radical,        1,  0,  6,  7,   6,   13,  9,   2,   22,  29
  371, 7 53,          radical,        2,  1,  0,  8,   7,   14,  10,  3,   23,  30
  372, 2² 3 31,       ,               0,  2,  1,  9,   8,   15,  11,  4,   24,  0
  373, 373,           prime,          1,  3,  2,  10,  9,   16,  12,  5,   25,  1
  374, 2 11 17,       radical,        2,  4,  3,  0,   10,  0,   13,  6,   26,  2
  375, 3 5³,          ,               0,  0,  4,  1,   11,  1,   14,  7,   27,  3
  376, 2³ 47,         ,               1,  1,  5,  2,   12,  2,   15,  8,   28,  4
  377, 13 29,         radical,        2,  2,  6,  3,   0,   3,   16,  9,   0,   5
  378, 2 3³ 7,        ,               0,  3,  0,  4,   1,   4,   17,  10,  1,   6
  379, 379,           prime,          1,  4,  1,  5,   2,   5,   18,  11,  2,   7
  380, 2² 5 19,       ,               2,  0,  2,  6,   3,   6,   0,   12,  3,   8
  381, 3 127,         radical,        0,  1,  3,  7,   4,   7,   1,   13,  4,   9
  382, 2 191,         radical,        1,  2,  4,  8,   5,   8,   2,   14,  5,   10
  383, 383,           prime,          2,  3,  5,  9,   6,   9,   3,   15,  6,   11
  384, 2⁷ 3,          ,               0,  4,  6,  10,  7,   10,  4,   16,  7,   12
  385, 5 7 11,        radical,        1,  0,  0,  0,   8,   11,  5,   17,  8,   13
  386, 2 193,         radical,        2,  1,  1,  1,   9,   12,  6,   18,  9,   14
  387, 3² 43,         ,               0,  2,  2,  2,   10,  13,  7,   19,  10,  15
  388, 2² 97,         ,               1,  3,  3,  3,   11,  14,  8,   20,  11,  16
  389, 389,           prime,          2,  4,  4,  4,   12,  15,  9,   21,  12,  17
  390, 2 3 5 13,      radical,        0,  0,  5,  5,   0,   16,  10,  22,  13,  18
  391, 17 23,         radical,        1,  1,  6,  6,   1,   0,   11,  0,   14,  19
  392, 2³ 7²,         ,               2,  2,  0,  7,   2,   1,   12,  1,   15,  20
  393, 3 131,         radical,        0,  3,  1,  8,   3,   2,   13,  2,   16,  21
  394, 2 197,         radical,        1,  4,  2,  9,   4,   3,   14,  3,   17,  22
  395, 5 79,          radical,        2,  0,  3,  10,  5,   4,   15,  4,   18,  23
  396, 2² 3² 11,      ,               0,  1,  4,  0,   6,   5,   16,  5,   19,  24
  397, 397,           prime,          1,  2,  5,  1,   7,   6,   17,  6,   20,  25
  398, 2 199,         radical,        2,  3,  6,  2,   8,   7,   18,  7,   21,  26
  399, 3 7 19,        radical,        0,  4,  0,  3,   9,   8,   0,   8,   22,  27
  400, 2⁴ 5²,         ,               1,  0,  1,  4,   10,  9,   1,   9,   23,  28
  401, 401,           prime,          2,  1,  2,  5,   11,  10,  2,   10,  24,  29
  402, 2 3 67,        radical,        0,  2,  3,  6,   12,  11,  3,   11,  25,  30
  403, 13 31,         radical,        1,  3,  4,  7,   0,   12,  4,   12,  26,  0
  404, 2² 101,        ,               2,  4,  5,  8,   1,   13,  5,   13,  27,  1
  405, 3⁴ 5,          ,               0,  0,  6,  9,   2,   14,  6,   14,  28,  2
  406, 2 7 29,        radical,        1,  1,  0,  10,  3,   15,  7,   15,  0,   3
  407, 11 37,         radical,        2,  2,  1,  0,   4,   16,  8,   16,  1,   4
  408, 2³ 3 17,       ,               0,  3,  2,  1,   5,   0,   9,   17,  2,   5
  409, 409,           prime,          1,  4,  3,  2,   6,   1,   10,  18,  3,   6
  410, 2 5 41,        radical,        2,  0,  4,  3,   7,   2,   11,  19,  4,   7
  411, 3 137,         radical,        0,  1,  5,  4,   8,   3,   12,  20,  5,   8
  412, 2² 103,        ,               1,  2,  6,  5,   9,   4,   13,  21,  6,   9
  413, 7 59,          radical,        2,  3,  0,  6,   10,  5,   14,  22,  7,   10
  414, 2 3² 23,       ,               0,  4,  1,  7,   11,  6,   15,  0,   8,   11
  415, 5 83,          radical,        1,  0,  2,  8,   12,  7,   16,  1,   9,   12
  416, 2⁵ 13,         ,               2,  1,  3,  9,   0,   8,   17,  2,   10,  13
  417, 3 139,         radical,        0,  2,  4,  10,  1,   9,   18,  3,   11,  14
  418, 2 11 19,       radical,        1,  3,  5,  0,   2,   10,  0,   4,   12,  15
  419, 419,           prime,          2,  4,  6,  1,   3,   11,  1,   5,   13,  16
  420, 2² 3 5 7,      ,               0,  0,  0,  2,   4,   12,  2,   6,   14,  17
  421, 421,           prime,          1,  1,  1,  3,   5,   13,  3,   7,   15,  18
  422, 2 211,         radical,        2,  2,  2,  4,   6,   14,  4,   8,   16,  19
  423, 3² 47,         ,               0,  3,  3,  5,   7,   15,  5,   9,   17,  20
  424, 2³ 53,         ,               1,  4,  4,  6,   8,   16,  6,   10,  18,  21
  425, 5² 17,         ,               2,  0,  5,  7,   9,   0,   7,   11,  19,  22
  426, 2 3 71,        radical,        0,  1,  6,  8,   10,  1,   8,   12,  20,  23
  427, 7 61,          radical,        1,  2,  0,  9,   11,  2,   9,   13,  21,  24
  428, 2² 107,        ,               2,  3,  1,  10,  12,  3,   10,  14,  22,  25
  429, 3 11 13,       radical,        0,  4,  2,  0,   0,   4,   11,  15,  23,  26
  430, 2 5 43,        radical,        1,  0,  3,  1,   1,   5,   12,  16,  24,  27
  431, 431,           prime,          2,  1,  4,  2,   2,   6,   13,  17,  25,  28
  432, 2⁴ 3³,         ,               0,  2,  5,  3,   3,   7,   14,  18,  26,  29
  433, 433,           prime,          1,  3,  6,  4,   4,   8,   15,  19,  27,  30
  434, 2 7 31,        radical,        2,  4,  0,  5,   5,   9,   16,  20,  28,  0
  435, 3 5 29,        radical,        0,  0,  1,  6,   6,   10,  17,  21,  0,   1
  436, 2² 109,        ,               1,  1,  2,  7,   7,   11,  18,  22,  1,   2
  437, 19 23,         radical,        2,  2,  3,  8,   8,   12,  0,   0,   2,   3
  438, 2 3 73,        radical,        0,  3,  4,  9,   9,   13,  1,   1,   3,   4
  439, 439,           prime,          1,  4,  5,  10,  10,  14,  2,   2,   4,   5
  440, 2³ 5 11,       ,               2,  0,  6,  0,   11,  15,  3,   3,   5,   6
  441, 3² 7²,         radical power,  0,  1,  0,  1,   12,  16,  4,   4,   6,   7
  442, 2 13 17,       radical,        1,  2,  1,  2,   0,   0,   5,   5,   7,   8
  443, 443,           prime,          2,  3,  2,  3,   1,   1,   6,   6,   8,   9
  444, 2² 3 37,       ,               0,  4,  3,  4,   2,   2,   7,   7,   9,   10
  445, 5 89,          radical,        1,  0,  4,  5,   3,   3,   8,   8,   10,  11
  446, 2 223,         radical,        2,  1,  5,  6,   4,   4,   9,   9,   11,  12
  447, 3 149,         radical,        0,  2,  6,  7,   5,   5,   10,  10,  12,  13
  448, 2⁶ 7,          ,               1,  3,  0,  8,   6,   6,   11,  11,  13,  14
  449, 449,           prime,          2,  4,  1,  9,   7,   7,   12,  12,  14,  15
  450, 2 3² 5²,       ,               0,  0,  2,  10,  8,   8,   13,  13,  15,  16
  451, 11 41,         radical,        1,  1,  3,  0,   9,   9,   14,  14,  16,  17
  452, 2² 113,        ,               2,  2,  4,  1,   10,  10,  15,  15,  17,  18
  453, 3 151,         radical,        0,  3,  5,  2,   11,  11,  16,  16,  18,  19
  454, 2 227,         radical,        1,  4,  6,  3,   12,  12,  17,  17,  19,  20
  455, 5 7 13,        radical,        2,  0,  0,  4,   0,   13,  18,  18,  20,  21
  456, 2³ 3 19,       ,               0,  1,  1,  5,   1,   14,  0,   19,  21,  22
  457, 457,           prime,          1,  2,  2,  6,   2,   15,  1,   20,  22,  23
  458, 2 229,         radical,        2,  3,  3,  7,   3,   16,  2,   21,  23,  24
  459, 3³ 17,         ,               0,  4,  4,  8,   4,   0,   3,   22,  24,  25
  460, 2² 5 23,       ,               1,  0,  5,  9,   5,   1,   4,   0,   25,  26
  461, 461,           prime,          2,  1,  6,  10,  6,   2,   5,   1,   26,  27
  462, 2 3 7 11,      radical,        0,  2,  0,  0,   7,   3,   6,   2,   27,  28
  463, 463,           prime,          1,  3,  1,  1,   8,   4,   7,   3,   28,  29
  464, 2⁴ 29,         ,               2,  4,  2,  2,   9,   5,   8,   4,   0,   30
  465, 3 5 31,        radical,        0,  0,  3,  3,   10,  6,   9,   5,   1,   0
  466, 2 233,         radical,        1,  1,  4,  4,   11,  7,   10,  6,   2,   1
  467, 467,           prime,          2,  2,  5,  5,   12,  8,   11,  7,   3,   2
  468, 2² 3² 13,      ,               0,  3,  6,  6,   0,   9,   12,  8,   4,   3
  469, 7 67,          radical,        1,  4,  0,  7,   1,   10,  13,  9,   5,   4
  470, 2 5 47,        radical,        2,  0,  1,  8,   2,   11,  14,  10,  6,   5
  471, 3 157,         radical,        0,  1,  2,  9,   3,   12,  15,  11,  7,   6
  472, 2³ 59,         ,               1,  2,  3,  10,  4,   13,  16,  12,  8,   7
  473, 11 43,         radical,        2,  3,  4,  0,   5,   14,  17,  13,  9,   8
  474, 2 3 79,        radical,        0,  4,  5,  1,   6,   15,  18,  14,  10,  9
  475, 5² 19,         ,               1,  0,  6,  2,   7,   16,  0,   15,  11,  10
  476, 2² 7 17,       ,               2,  1,  0,  3,   8,   0,   1,   16,  12,  11
  477, 3² 53,         ,               0,  2,  1,  4,   9,   1,   2,   17,  13,  12
  478, 2 239,         radical,        1,  3,  2,  5,   10,  2,   3,   18,  14,  13
  479, 479,           prime,          2,  4,  3,  6,   11,  3,   4,   19,  15,  14
  480, 2⁵ 3 5,        ,               0,  0,  4,  7,   12,  4,   5,   20,  16,  15
  481, 13 37,         radical,        1,  1,  5,  8,   0,   5,   6,   21,  17,  16
  482, 2 241,         radical,        2,  2,  6,  9,   1,   6,   7,   22,  18,  17
  483, 3 7 23,        radical,        0,  3,  0,  10,  2,   7,   8,   0,   19,  18
  484, 2² 11²,        radical power,  1,  4,  1,  0,   3,   8,   9,   1,   20,  19
  485, 5 97,          radical,        2,  0,  2,  1,   4,   9,   10,  2,   21,  20
  486, 2 3⁵,          ,               0,  1,  3,  2,   5,   10,  11,  3,   22,  21
  487, 487,           prime,          1,  2,  4,  3,   6,   11,  12,  4,   23,  22
  488, 2³ 61,         ,               2,  3,  5,  4,   7,   12,  13,  5,   24,  23
  489, 3 163,         radical,        0,  4,  6,  5,   8,   13,  14,  6,   25,  24
  490, 2 5 7²,        ,               1,  0,  0,  6,   9,   14,  15,  7,   26,  25
  491, 491,           prime,          2,  1,  1,  7,   10,  15,  16,  8,   27,  26
  492, 2² 3 41,       ,               0,  2,  2,  8,   11,  16,  17,  9,   28,  27
  493, 17 29,         radical,        1,  3,  3,  9,   12,  0,   18,  10,  0,   28
  494, 2 13 19,       radical,        2,  4,  4,  10,  0,   1,   0,   11,  1,   29
  495, 3² 5 11,       ,               0,  0,  5,  0,   1,   2,   1,   12,  2,   30
  496, 2⁴ 31,         ,               1,  1,  6,  1,   2,   3,   2,   13,  3,   0
  497, 7 71,          radical,        2,  2,  0,  2,   3,   4,   3,   14,  4,   1
  498, 2 3 83,        radical,        0,  3,  1,  3,   4,   5,   4,   15,  5,   2
  499, 499,           prime,          1,  4,  2,  4,   5,   6,   5,   16,  6,   3
  500, 2² 5³,         ,               2,  0,  3,  5,   6,   7,   6,   17,  7,   4
  501, 3 167,         radical,        0,  1,  4,  6,   7,   8,   7,   18,  8,   5
  502, 2 251,         radical,        1,  2,  5,  7,   8,   9,   8,   19,  9,   6
  503, 503,           prime,          2,  3,  6,  8,   9,   10,  9,   20,  10,  7
  504, 2³ 3² 7,       ,               0,  4,  0,  9,   10,  11,  10,  21,  11,  8
  505, 5 101,         radical,        1,  0,  1,  10,  11,  12,  11,  22,  12,  9
  506, 2 11 23,       radical,        2,  1,  2,  0,   12,  13,  12,  0,   13,  10
  507, 3 13²,         ,               0,  2,  3,  1,   0,   14,  13,  1,   14,  11
  508, 2² 127,        ,               1,  3,  4,  2,   1,   15,  14,  2,   15,  12
  509, 509,           prime,          2,  4,  5,  3,   2,   16,  15,  3,   16,  13
  510, 2 3 5 17,      radical,        0,  0,  6,  4,   3,   0,   16,  4,   17,  14
  511, 7 73,          radical,        1,  1,  0,  5,   4,   1,   17,  5,   18,  15
  512, 2⁹,            prime power,    2,  2,  1,  6,   5,   2,   18,  6,   19,  16
  513, 3³ 19,         ,               0,  3,  2,  7,   6,   3,   0,   7,   20,  17
  514, 2 257,         radical,        1,  4,  3,  8,   7,   4,   1,   8,   21,  18
  515, 5 103,         radical,        2,  0,  4,  9,   8,   5,   2,   9,   22,  19
  516, 2² 3 43,       ,               0,  1,  5,  10,  9,   6,   3,   10,  23,  20
  517, 11 47,         radical,        1,  2,  6,  0,   10,  7,   4,   11,  24,  21
  518, 2 7 37,        radical,        2,  3,  0,  1,   11,  8,   5,   12,  25,  22
  519, 3 173,         radical,        0,  4,  1,  2,   12,  9,   6,   13,  26,  23
  520, 2³ 5 13,       ,               1,  0,  2,  3,   0,   10,  7,   14,  27,  24
  521, 521,           prime,          2,  1,  3,  4,   1,   11,  8,   15,  28,  25
  522, 2 3² 29,       ,               0,  2,  4,  5,   2,   12,  9,   16,  0,   26
  523, 523,           prime,          1,  3,  5,  6,   3,   13,  10,  17,  1,   27
  524, 2² 131,        ,               2,  4,  6,  7,   4,   14,  11,  18,  2,   28
  525, 3 5² 7,        ,               0,  0,  0,  8,   5,   15,  12,  19,  3,   29
  526, 2 263,         radical,        1,  1,  1,  9,   6,   16,  13,  20,  4,   30
  527, 17 31,         radical,        2,  2,  2,  10,  7,   0,   14,  21,  5,   0
  528, 2⁴ 3 11,       ,               0,  3,  3,  0,   8,   1,   15,  22,  6,   1
  529, 23²,           prime power,    1,  4,  4,  1,   9,   2,   16,  0,   7,   2
  530, 2 5 53,        radical,        2,  0,  5,  2,   10,  3,   17,  1,   8,   3
  531, 3² 59,         ,               0,  1,  6,  3,   11,  4,   18,  2,   9,   4
  532, 2² 7 19,       ,               1,  2,  0,  4,   12,  5,   0,   3,   10,  5
  533, 13 41,         radical,        2,  3,  1,  5,   0,   6,   1,   4,   11,  6
  534, 2 3 89,        radical,        0,  4,  2,  6,   1,   7,   2,   5,   12,  7
  535, 5 107,         radical,        1,  0,  3,  7,   2,   8,   3,   6,   13,  8
  536, 2³ 67,         ,               2,  1,  4,  8,   3,   9,   4,   7,   14,  9
  537, 3 179,         radical,        0,  2,  5,  9,   4,   10,  5,   8,   15,  10
  538, 2 269,         radical,        1,  3,  6,  10,  5,   11,  6,   9,   16,  11
  539, 7² 11,         ,               2,  4,  0,  0,   6,   12,  7,   10,  17,  12
  540, 2² 3³ 5,       ,               0,  0,  1,  1,   7,   13,  8,   11,  18,  13
